,image_link,product_name,page_link
0,https://ak1.ostkcdn.com/images/products/18183033/Foldable-Storage-Cube-Ottoman-Stool-46ec9c6b-6aa4-475c-845f-b4db874e2611_600.jpg,"Foldable Storage Cube Ottoman Stool, 2-Piece Set",https://www.overstock.com/Home-Garden/Foldable-Storage-Cube-Ottoman-Stool-2-Piece-Set/18183033/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=0
1,https://ak1.ostkcdn.com/images/products/18183033/Foldable-Storage-Cube-Ottoman-Stool-c20ca6ac-c605-48ec-ae61-eae01acb2a22_600.jpg,"Foldable Storage Cube Ottoman Stool, 2-Piece Set",https://www.overstock.com/Home-Garden/Foldable-Storage-Cube-Ottoman-Stool-2-Piece-Set/18183033/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=0
2,https://ak1.ostkcdn.com/images/products/18183033/Foldable-Storage-Cube-Ottoman-Stool-bc751f75-0fdf-4ea0-be33-48e65d88c964_600.jpg,"Foldable Storage Cube Ottoman Stool, 2-Piece Set",https://www.overstock.com/Home-Garden/Foldable-Storage-Cube-Ottoman-Stool-2-Piece-Set/18183033/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=0
3,https://ak1.ostkcdn.com/images/products/18183033/Foldable-Storage-Cube-Ottoman-Stool-2698efee-e6ba-431a-9f54-d1d217aa7d10_600.jpg,"Foldable Storage Cube Ottoman Stool, 2-Piece Set",https://www.overstock.com/Home-Garden/Foldable-Storage-Cube-Ottoman-Stool-2-Piece-Set/18183033/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=0
4,https://ak1.ostkcdn.com/images/products/18183033/Foldable-Storage-Cube-Ottoman-Stool-8a59a711-ab1c-4923-b360-16a89d3bd4ac_600.jpg,"Foldable Storage Cube Ottoman Stool, 2-Piece Set",https://www.overstock.com/Home-Garden/Foldable-Storage-Cube-Ottoman-Stool-2-Piece-Set/18183033/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=0
5,https://ak1.ostkcdn.com/images/products/18183033/Foldable-Storage-Cube-Ottoman-Stool-2279065e-26f1-4339-be37-d1fe6d241694_600.jpg,"Foldable Storage Cube Ottoman Stool, 2-Piece Set",https://www.overstock.com/Home-Garden/Foldable-Storage-Cube-Ottoman-Stool-2-Piece-Set/18183033/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=0
6,https://ak1.ostkcdn.com/images/products/18183033/Foldable-Storage-Cube-Ottoman-Stool-319948b4-a318-4c00-811a-bfba56e22e4d_600.jpg,"Foldable Storage Cube Ottoman Stool, 2-Piece Set",https://www.overstock.com/Home-Garden/Foldable-Storage-Cube-Ottoman-Stool-2-Piece-Set/18183033/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=0
7,https://ak1.ostkcdn.com/images/products/18183033/Foldable-Storage-Cube-Ottoman-Stool-545a0fdf-80d4-4e78-99e5-657758271b40_600.jpg,"Foldable Storage Cube Ottoman Stool, 2-Piece Set",https://www.overstock.com/Home-Garden/Foldable-Storage-Cube-Ottoman-Stool-2-Piece-Set/18183033/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=0
8,https://ak1.ostkcdn.com/images/products/18183033/Foldable-Storage-Cube-Ottoman-Stool-e9109943-0a86-4be9-8013-75ab05a5474e_600.jpg,"Foldable Storage Cube Ottoman Stool, 2-Piece Set",https://www.overstock.com/Home-Garden/Foldable-Storage-Cube-Ottoman-Stool-2-Piece-Set/18183033/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=0
9,https://ak1.ostkcdn.com/images/products/18183033/Foldable-Storage-Cube-Ottoman-Stool-a2620668-03d1-4597-8ca5-bb88c61dce9a_600.jpg,"Foldable Storage Cube Ottoman Stool, 2-Piece Set",https://www.overstock.com/Home-Garden/Foldable-Storage-Cube-Ottoman-Stool-2-Piece-Set/18183033/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=0
