,page_link,product_name,item_no,description,style,material,type_class,color,rating
486,https://www.overstock.com/Home-Garden/Square-Pouf-Bella-Chocolate/16290501/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=486,Square Pouf Bella Chocolate,22656708,"Our Pouf Square Ottomans are a great add on to any decor. They work as a foot rest or extra seating. They are filled with polyester fiber & recycled EPS filler. The ottomans are overstuffed for long lasting, maximum comfort & support. The cover of this piece is removable for easy care. Bella is a lush polyester velvet in rich colors. Also available in a round shape.",Modern & Contemporary,Polyester,"Foot Stool, Pouf, Standard Ottoman",Brown,0.0
487,https://www.overstock.com/Home-Garden/Tall-Pouf-Sterling-Willow/16292270/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=487,Tall Pouf Sterling Willow,22658337,"Our Pouf Tall Ottomans are a great add on to any decor. They work as a foot rest or extra seating. They are filled with polyester fiber and recycled EPS filler. The ottomans are overstuffed for long lasting, maximum comfort and support. The cover of this piece is removable for easy care. Sterling is a polyester with a soft, linen like texture. Also available in a shorter size.",Modern & Contemporary,Polyester,"Foot Stool, Pouf, Standard Ottoman",Green,0.0
488,https://www.overstock.com/Home-Garden/Arshs-Fine-Rugs-Cristen-Green-Ivory-Kilim-Upholstered-Handmade-Storage-Ottoman/22883482/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=488,Arshs Fine Rugs Cristen Green/Ivory Kilim Upholstered Handmade Storage Ottoman,28459956,"Stash magazines, media essentials, and other small items in this storage ottoman to make the room mess-free at a moment's notice. The green and ivory geometric motifs make this ottoman an attractive accent piece.","Modern & Contemporary, Pouf, Southwestern","Foam, Wood, Wool","Standard Ottoman, Storage Cube, Storage Ottoman",Green,0.0
489,https://www.overstock.com/Home-Garden/Arshs-Fine-Rugs-Cristine-Light-Blue-Rust-Wool-Kilim-Upholstered-Handmade-Storage-Ottoman/22883462/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=489,Arshs Fine Rugs Cristine Light Blue/Rust Wool Kilim Upholstered Handmade Storage Ottoman,28459891,"Infuse your decor with a burst or tribal or Southwestern color from this handmade storage ottoman. This ottoman's wood frame, hand-woven kilim wool upholstery, and foam cushioning make it a comfortable, sturdy place to rest your feet, and an interior compartment accommodates your media, peripherals, and sundry essentials.","Modern & Contemporary, Pouf, Southwestern","Foam, Wood, Wool","Standard Ottoman, Storage Cube, Storage Ottoman",Blue,0.0
490,https://www.overstock.com/Home-Garden/Arshs-Fine-Rugs-Cristoph-Light-Blue-Rust-Wool-Kilim-Upholstered-Handmade-Storage-Ottoman/22883453/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=490,Arshs Fine Rugs Cristoph Light Blue/Rust Wool Kilim Upholstered Handmade Storage Ottoman,28459939,Anchor the color palette of your living room with this chic ottoman featuring a flurry of bright hues and an elegant geometric pattern. This versatile wood and wool kilim ottoman is perfect as low seating or a footstool and offers additional storage space for keeping a blanket handy.,"Modern & Contemporary, Pouf, Southwestern","Foam, Wood, Wool","Standard Ottoman, Storage Cube, Storage Ottoman",Blue,0.0
491,https://www.overstock.com/Home-Garden/Offex-Barrington-Upholstered-Round-Ottoman-Pouf-In-Orange-Fabric/22996347/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=491,Offex Barrington Upholstered Round Ottoman Pouf In Orange Fabric,28560236,"This incredibly stylish pouf is the perfect piece of casual furniture for seating. The solid wood interior will hold up kids and adults alike. When you want to relax, prop your feet up and ease in your favorite chair. The versatility of a pouf is your all-in-one solution for seating, as a footrest and a table, so get yours today! Contemporary Style. Orange Fabric Upholstery. Taut Upholstery. CA117 Fire Retardant Foam. Black Bottom Dust Cover. Plastic Pin Gliders. Weight: 51 lbs. Overall Dimensions: 15.75""W x 15.75""D x 16.25""H",Modern & Contemporary,"Fabric, Foam, Plastic","Pouf, Standard Ottoman",Orange,0.0
492,https://www.overstock.com/Home-Garden/Offex-Barrington-Upholstered-Round-Ottoman-Pouf-In-Brown-Fabric/23038794/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=492,Offex Barrington Upholstered Round Ottoman Pouf In Brown Fabric,28597809,"This incredibly stylish pouf is the perfect piece of casual furniture for seating. The solid wood interior will hold up kids and adults alike. When you want to relax, prop your feet up and ease in your favorite chair. The versatility of a pouf is your all-in-one solution for seating, as a footrest and a table, so get yours today! Contemporary Style. Brown Fabric Upholstery. Taut Upholstery. CA117 Fire Retardant Foam. Black Bottom Dust Cover. Plastic Pin Gliders. Weight: 51 lbs. Overall Dimensions: 15.75""W x 15.75""D x 16.25""H",Modern & Contemporary,"Fabric, Foam, Plastic","Pouf, Standard Ottoman",Brown,0.0
493,https://www.overstock.com/Home-Garden/Kilim-Pouf-Court-15-x15-x17/20166052/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=493,"Kilim Pouf Court, (15""x15""x17"")",26060319,"Utilize this pouf as a spot to prop up your feet or as an extra seat when a guest comes calling. Handcrafted wool upholstery lends softness and a touch of uniqueness, while the multi-tone geometric design jazzes up your interior space.",Southwestern,"Upholstered, Wool","Foot Stool, Pouf","Blue, Burgundy",0.0
494,https://www.overstock.com/Home-Garden/Kilim-Pouf-Saebeorht-15-x15-x17/20166039/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=494,"Kilim Pouf Saebeorht, (15""x15""x17"")",26060315,"Complement your Southwestern or international motif with this one-of-a-kind pouf. Handcrafted using kilims made from pure wool for superior artistry and quality, this ethnically inspired ottoman serves as a plush foot stool and a striking visual accent.",Southwestern,"Upholstered, Wool","Foot Stool, Pouf","Brown, Orange, Purple",0.0
495,https://www.overstock.com/Home-Garden/Offex-Ascalon-Contemporary-Upholstered-Ottoman-Pouf-in-Brown-Fabric/22971129/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=495,Offex Ascalon Contemporary Upholstered Ottoman Pouf in Brown Fabric,28537829,"Contemporary Style. Taut Upholstery. CA117 Fire Retardant Foam. Black Bottom Dust Cover. Wood Grain Plastic Feet. Weight: 9 lbs. Weight Capacity: 300 lbs. Dimensions: 16.5""W x 16.5""D x 16""H",Modern & Contemporary,"Fabric, Foam, Plastic","Pouf, Standard Ottoman",Brown,0.0
496,https://www.overstock.com/Home-Garden/Grey-Pinwheel-Tapestry-Pouf-Ottoman/10812318/product.html?refccid=4WNMOCSC77P2LACHIFBXADGGTU&searchidx=496,Grey Pinwheel Tapestry Pouf Ottoman,17857375,"Add a touch of style to your home with an American Furniture Classics Grey Pinwheel tapestry cylindrical shaped Pouf ottoman. Very useful extra seating in your living room, family room, or den. Available in a variety of padded microfiber and tapestry microfiber fabrics. The inner bag is stuffed with premium virgin poly polystyrene beads. There is a zipper on the fabric which allows you to remove the inner bag and clean the fabric as needed. Proudly .","Modern & Contemporary, Transitional, Urban","Fabric, Foam, Microfiber","Foot Stool, Pouf, Standard Ottoman",Grey,0.0
