,page_link,product_name,item_no,description,style,material,type_class,color,rating
10,https://www.overstock.com/Home-Garden/Madison-Park-Kelsey-Round-Pouff-Ottoman/20559011/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=10,Madison Park Kelsey Round Pouff Ottoman,15952464,This versatile oversized ottoman pouf will make a statement in any home with its distinctive stitching pattern and soft appearance.,"Americana, Bohemian & Eclectic, Modern & Contemporary",Polyester,"Pouf, Standard Ottoman","Blue, Brown, Grey, Multi",4.5
11,https://www.overstock.com/Home-Garden/Treasure-Espresso-Vinyl-Storage-Cube-Ottoman/7191325/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=11,Treasure Espresso Vinyl Storage Cube/ Ottoman,14678505,"Keep your things close at hand with this Treasure ottoman. A rich espresso finish with piped edging lends an Old World style to an otherwise modern piece. Prop your feet up, or stow away your possessions, with durable simplicity on four wooden legs.",Modern & Contemporary,Wood,Storage Cube,Brown,4.9
12,https://www.overstock.com/Home-Garden/Porch-Den-Old-Fourth-Ward-Edgewood-Small-Storage-Ottoman-with-Flip-Over-Tray/20340105/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=12,Porch & Den Old Fourth Ward Edgewood Small Storage Ottoman with Flip Over Tray,20340105,"Enjoy extra comfort, style, and storage with this small storage ottoman. The top reverses to a handy flip over tray, and the interior storage area offers plenty of space for remotes, throw blankets, and other convenient items. When all closed up, the ottoman provides a perfect spot to rest your legs.",Modern & Contemporary,"Faux Leather, Wood","Cocktail Ottoman, Foot Stool, Standard Ottoman, Storage Cube, Storage Ottoman","Black, Brown, Red",4.5
13,https://www.overstock.com/Home-Garden/Modern-14-x-14-Inch-Square-Gray-Pouf-by-Studio-350/20445623/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=13,Modern 14 x 14 Inch Square Gray Pouf by Studio 350,26307138,"Give your living room, guest room, or bedroom a stylish and functional update with this chic pouf from Studio 350. It features a cube-shaped wooden body frame covered with a gray-colored polyester fabric with tufted details. Four black-finished wooden block legs complete the sleek look of this pouf while providing maximum balance and support. Get this stunning piece now to bring a modern touch to your ensemble.",Modern & Contemporary,Pine,"Pouf, Standard Ottoman",Grey,4.7
14,https://www.overstock.com/Home-Garden/Clay-Alder-Home-Harrison-3-piece-Storage-Ottoman-in-Teal/11869661/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=14,Clay Alder Home Harrison 3-piece Storage Ottoman in Teal,18768263,"Elevate your decor with this chic three-piece set. Featuring one large and two small ottomans, the set features hinged lids that open for easy access to ample storage space. Teal upholstery, tufted tops, and espresso-finished feet lend mid-century elegance to any space.",Transitional,"Foam, Pine","Cocktail Ottoman, Storage Cube, Storage Ottoman",Blue,4.5
15,https://www.overstock.com/Home-Garden/OSP-Designs-2-Piece-Ottoman-Set-with-Tray-Top/23566355/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=15,OSP Designs 2 Piece Ottoman Set with Tray Top,29069823,"The Russian nesting doll meets its home décor equivalent in the OSP Designs 2 piece fabric ottoman Set. This ottoman can serve as extra seating, storage and a plush spot to put your feet up. Lift the cushioned top to reveal both a storage space and a matching mini ottoman inside. Remove the small ottoman to utilize the storage space within. Store anything from board games to throw blankets in this discreet spot. The mini ottoman is perfect when company comes over and you need an extra seat. The top of this ottoman can be displayed as a tufted cushion or simply flip it over to access the built in serving tray. Both large and mini ottomans are covered in durable and easy care fabric. Four dark espresso finished feet lift this ottoman slightly off the ground. The entire ottoman comes fully assembled and ready to use.",Mid-Century Modern,Fabric,Storage Cube,"Blue, Green, Grey, Purple",3.0
16,https://www.overstock.com/Home-Garden/Costway-16Cube-Ottoman-Pouffe-Storage-Box-Lounge-Seat-Footstools-with-Hinge-Top-brown-Black/16794581/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=16,Costway 16''Cube Ottoman Pouffe Storage Box Lounge Seat Footstools with Hinge Top brown - Black,23099915,"This is our storage ottoman, which is really ideal for storing and organizing your toys, blanket, books and gaming accessories, etc. It is covered with durable faux leather and constructed with a sturdy wood frame. It will really makes stores easily beside closets, drawers or beds and sofas. It will add a touch of elegance to your home whilst providing a stylish storage solution.If you are looking one ,do not hesitant to buy it from us!",,Leather,Storage Cube,,4.6
17,https://www.overstock.com/Home-Garden/Handmade-Contemporary-Handmade-Imported-Genuine-leather-Ottoman-Pouf-Morocco/5155741/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=17,Handmade Contemporary Handmade Imported Genuine-leather Ottoman Pouf (Morocco),12997600,"Handmade by Moroccan artisans, this genuine leather ottoman bringsan air of luxury and extravagance to any setting. This contemporaryottoman is just the right size to pair with a low-profile chaiselounge or a taller executive chair. It displays an intricategeometric design for a look that's both modern and sophisticated.",Bohemian & Eclectic,Leather,"Foot Stool, Pouf","Green, Silver, White, Yellow",4.3
18,https://www.overstock.com/Home-Garden/Kion-Square-Fabric-Office-Filing-Ottoman-with-Casters-by-Christopher-Knight-Home/18108959/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=18,Kion Square Fabric Office Filing Ottoman with Casters by Christopher Knight Home,24265037,"Looking for a stylish way to house your files without having to shell out for a whole filing cabinet that you will not use for the most part? Then look no further than this filing ottoman. Use it to store those documents you access all the time without adding an eyesore to your office (home or otherwise). Ideal for hanging folders of all types, this storage ottoman is sure to please.",Modern & Contemporary,"Fabric, Plastic, Wood","Foot Stool, Standard Ottoman, Storage Cube","Blue, Grey, Red",3.6
19,https://www.overstock.com/Home-Garden/Seville-Classics-Foldable-Tufted-Storage-Cube-Ottoman-Midnight-Blue/15125741/product.html?refccid=JI4WMHOIQPFLANKAMJINBHF4MU&searchidx=19,Seville Classics Foldable Tufted Storage Cube Ottoman,21610438,"Furnish your home with Seville Classics' Foldable Tufted Storage Ottoman. Remove the tufted cushion top to reveal a generous storage area for organizing magazines, blankets, linens, toys, remotes and more! Doubles as a plush footrest in the living room and is ideal for use as a stool in communal work spaces, dorm halls, or commercial environments like lounges. Folding design  means the cube sets up in seconds and uses little space in storage. Unit is lightweight (less than 8 lbs.) and folds away easily when out of use.",Modern & Contemporary,"Fabric, MDF","Storage Cube, Storage Ottoman","Blue, Grey, Orange",4.6
