,page_link,product_name,item_no,description,style,material,type_class,color,rating
158,https://www.overstock.com/Home-Garden/Aurelle-Home-Jet-Fighter-Nailhead-Trim-Brown-Leather-Club-Chair/9531045/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=158,Aurelle Home Jet Fighter Nailhead Trim Brown Leather Club Chair,16710147,"This club chair has a unique design with an aluminum exterior frame and brass nailhead trim details. The Jet Fighter armchair is upholstered in a distressed brown leather that gives the chair a retro-inspired look. Perfect for the home or office, add a luxurious touch to your living space with this sturdily built chair.","Bohemian & Eclectic, Industrial, Modern & Contemporary","Aluminum, Leather, Metal","Accent Chairs, Club Chairs",Brown,4.8
159,https://www.overstock.com/Home-Garden/Ave-Six-Carrington-Espresso-Eco-Leather-Armchair/9106209/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=159,Ave Six Carrington Espresso Eco Leather Armchair,16292918,"Finished in eco-friendly leather and constructed with solid wood, this classic armchair features easy-care upholstery grade fabric and a comfortable sinuous spring cushioned foam seat. Contemporary or classic, this chair is sure to add refinement to your home.","Casual, Modern & Contemporary",Bonded Leather,Arm Chairs,Brown,5.0
160,https://www.overstock.com/Home-Garden/Costway-Modern-Tall-Wingback-Tufted-Accent-Armchair-Fabric-Vintage-Chair-Nailhead-Navy/20489068/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=160,Costway Modern Tall Wingback Tufted Accent Armchair Fabric Vintage Chair Nailhead Navy,26345489,"This is our new wingback design chair. This chair can complement any room's decor classic or contemporary. Tufted cushions, polished wood legs, and a low-slung seat combine a vintage look with modern construction. This accent chair is upholstered with beautiful gray fabric with high-quality welting at the seams for style and durability that will last for years. The sturdy wood frame can support up to 528 pounds and provides comfortable oversized seating. Whether you're reading a book or lounging by the fireplace, add style and comfort to your home with the Tall Wingback Accent Chair.",,Wood,Arm Chairs,,4.5
161,https://www.overstock.com/Home-Garden/Best-Master-Furniture-Faux-Leather-Stainless-Steel-Arm-Accent-Chair/18827974/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=161,Best Master Furniture Faux Leather Stainless Steel Arm Accent Chair,24892446,"Upholstered in faux leather. Frame is made of stainless steel. Back and seat cushion are not removable. Suitable for living room and/ or office. Modern and Contemporary Style. Medium - Soft Seating. Arm Height 23.5. Solid print. Assembled dimension 27""L x 33""D x 35""H. Seat Height 20. Seat Depth 21.",Modern & Contemporary,Steel,"Accent Chairs, Arm Chairs","Black, White",4.0
162,https://www.overstock.com/Home-Garden/Abbyson-Cabo-Fabric-Nailhead-Trim-Armchair/6772239/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=162,Abbyson Cabo Fabric Nailhead Trim Armchair,14312337,"Add a classic touch to your living room with this nailhead-trim armchair. This chair is made of cream-colored fabric to bring a neutral feel to the room. Its wooden legs have a black finish to add a bit of a dark accent, so you can relax in style. A standard chair back height makes this piece comfortable for just about anyone.","Farmhouse, Transitional, Vintage",Velvet,Arm Chairs,"Black, Cream",4.4
163,https://www.overstock.com/Home-Garden/Abbyson-Nolan-Teal-Mid-Century-Armchair/17652312/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=163,Abbyson Nolan Teal Mid Century Armchair,23864102,We love the modern silhouette of this teal velvet armchair. Flared arms are balanced by classic mid-century flared legs finished in a rich walnut. The bold color will make a statement in any room.,Mid-Century Modern,"Fabric, Velvet, Wood","Accent Chair, Arm Chairs",Green,5.0
164,https://www.overstock.com/Home-Garden/2xhome-Modern-Rocking-Chair-Armchair-With-Arm-Colors-Natural-Wood-Rockers-Dining-Set-of-2/12685917/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=164,2xhome Modern Rocking Chair Armchair With Arm Colors Natural Wood Rockers Dining (Set of 2),19470414,"Rocking Chair - Wooden Rockers - High Quality Lounge Chair Heavy-duty molded contemporary plastic seat (matte finish) or Fabric seat - PLEASE NOTE: You may see similar chairs from other sellers, but their chairs have indents/imprints on top seating, where the base attaches at the bottom. Our top seats are completely smooth, not indented like the thinner plastic chairs sold by other sellers. Ash Wood Rockers w/ Chromed Steel Supports APPROXIMATE DIMENSIONS: see photos",Modern & Contemporary,Chrome,Rocking Chairs,"Beige, Black, Blue, Clear, Green, Grey, Multi, Orange, Pink, Red, White, Yellow",4.0
165,https://www.overstock.com/Home-Garden/Abbyson-Kassidy-Grey-Leather-Armchair/13339015/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=165,Abbyson Kassidy Grey Leather Armchair,20042038,Click here to measure your home for delivery,Modern & Contemporary,"Leather, Wood",Arm Chairs,Grey,5.0
166,https://www.overstock.com/Home-Garden/Carson-Carrington-Aabenraa-Quartz-Arm-Chair/17239929/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=166,Carson Carrington Aabenraa Quartz Arm Chair,23494690,"This stylish mid-century modern Aabenraa armchair from Carson Carrington is a hip and comfortable choice for your living room or bedroom. Its quartz fabric upholstery, semi-soft padding, and tapered legs give the Aabenraa a timeless appearance.",Mid-Century Modern,"Foam, Wood",Accent Chairs,Grey,3.7
167,https://www.overstock.com/Home-Garden/Oliver-James-Aarts-Faux-leather-Oversized-Chair/12138177/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=167,Oliver & James Aarts Faux-leather Oversized Chair,18994611,"Enjoy the luxurious feel of leather when you relax into this large, comfortable armchair. This oversized chair features extra padding in the seats and armrests to let you drape yourself over it in any configuration. Kick back in this faux leather chair to read a great book or get some serious gaming in.","Casual, Transitional",Faux Leather,"Arm Chairs, Oversize","Black, Brown",4.5
168,https://www.overstock.com/Home-Garden/Hickory-Genuine-Hand-Rubbed-Leather-Chesterfield-Armchair/12199541/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=168,Hickory Genuine Hand Rubbed Leather Chesterfield Armchair,19047355,"Featuring a 100-percent genuine leather upholstery, plush feather down seating, detailed nail trim, and gorgeous button tufting, the Hickory Chesterfield armchair is an instant classic that complements a variety of home styles. This luxurious armchair features hand rubbed leather and detailed French stitching for a truly elegant finish.",Modern & Contemporary,"Foam, Leather, Wood","Arm Chairs, Side Chairs",Brown,5.0
169,https://www.overstock.com/Home-Garden/Mingle-Upholstered-Fabric-Armchair/17753971/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=169,Mingle Upholstered Fabric Armchair,23954255,"""Kick back and relax with Mingle. Designed to wash away the hindrances that obstruct visual space, Mingle comes expansively designed with generous seating and dense foam padding that allows for just the right amount of give. Mingle easily positions according to the needs of the moment and features richly textured polyester with elegant piping and plastic legs for steady support. Host animated living or lounge room get-togethers with a modular sectional seating assortment perfect for contemporary modern decors.",Modern & Contemporary,"Foam, Upholstered","Arm Chairs, Oversize","Blue, Green, Grey, White",0.0
170,https://www.overstock.com/Home-Garden/Safavieh-Devona-Orange-Brass-Nail-Heads-Arm-Chair/11416934/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=170,Safavieh Devona Orange Brass Nail Heads Arm Chair,18380269,"Inspired by a 17th century antique found in Madrid, this armchair is a contemporary classic. Its striking traditional frame is paired with impeccably tailored orange upholstery and finished with polished silver nailheads. Disclaimer: To prevent overall soiling, frequent vacuuming or light brushing is recommended. Cushions and pillows should be turned on a weekly basis. Down-filled cushions should be brushed rather than vacuumed. Spot clean, using a mild water-free solvent or dry cleaning product. Only a professional cleaner should undertake a complete overall cleaning. The use of steam or water-based cleaners may cause excessive shrinking or staining.","French Country, Shabby Chic","Brass, Metal, Polyester Blend",Arm Chairs,Orange,5.0
171,https://www.overstock.com/Home-Garden/Modway-Verve-Upholstered-Armchairs-Set-of-2/12677434/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=171,Modway Verve Upholstered Armchairs (Set of 2),19462895,Create a cozy space to chat with a friend with this set of armchairs. This set of two armchairs features wooden legs with mark-proof caps and densely padded seats for comfortable lounging.,"Mid-Century Modern, Modern & Contemporary","Fabric, Foam, Plastic, Polyester",Arm Chairs,"Grey, Off-White",5.0
172,https://www.overstock.com/Home-Garden/Parker-Genuine-Top-Grain-Leather-Nailhead-Trimmed-Armchair/14221354/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=172,Parker Genuine Top Grain Leather Nailhead Trimmed Armchair,20813719,"With 100 percent genuine top grain leather, plush comfortable seating, and detailed french stitching, the Parker armchair is a transitional design with oversized rolled arms and nailhead trim which compliments a variety of home styles. The Parker is available in your choice of top grain leather color, ensuring for a perfect addition to any room. This quality custom leather armchair is handcrafted using the finest materials.","Casual, Southwestern, Transitional","Foam, Leather, Wood","Accent Chairs, Arm Chairs, Club Chairs","Black, Brown, Cream, Grey, Red, White",0.0
173,https://www.overstock.com/Home-Garden/Carson-Carrington-Aabenraa-Leatherette-Red-Arm-Chair/17239926/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=173,Carson Carrington Aabenraa Leatherette Red Arm Chair,23494687,"This stylish mid-century modern Aabenraa armchair from Carson Carrington is a hip and comfortable choice for your living room or bedroom. Its red leatherette upholstery, semi-soft padding, and tapered legs give the Aabenraa a timeless appearance.",Mid-Century Modern,"Foam, Wood",Accent Chairs,Red,2.5
174,https://www.overstock.com/Home-Garden/Abbyson-Leona-Top-Grain-Leather-Armchair/9745763/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=174,Abbyson Leona Top Grain Leather Armchair,16919259,Click here to measure your home for delivery,Transitional,"Leather, Wood",Arm Chairs,Beige,4.1
175,https://www.overstock.com/Home-Garden/Modway-Auteur-Fabric-Armchair/10095359/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=175,Modway Auteur Fabric Armchair,17236899,"Chart your course to an authentic seating environment with the Auteur Armless Club Chair. Fashioned to stay true to classic Parisian style, Auteur is an emboldened piece that promotes action. Auteur comes with a plush polyester upholstered back and cushion, solid rubber wood legs, and works admirably well for living rooms, lounge areas, and casual dining arrangements. Suited for transitional decors that appreciate both modern and classic elements, creatively author your day as you turn new page after page.",Modern & Contemporary,"Fabric, Foam, Pine, Plastic, Polyester, Rubberwood, Wood",Accent Chairs,"Beige, Grey, Off-White",4.5
176,https://www.overstock.com/Home-Garden/Florence-Style-Dark-Grey-Wool-Armchair-Chair/6673053/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=176,Florence Style Dark Grey Wool Armchair Chair,14230322,This Florence Style armchair adds retro style to your living room or office. The comfortable throwback is upholstered in dark grey wool with a tufted back cushion for optimum style.,Transitional,Wool,Accent Chairs,"Blue, Grey",4.3
177,https://www.overstock.com/Home-Garden/Martelle-Accent-Armchair/19512585/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=177,Martelle Accent Armchair,25505290,"The beauty of the Martelle Accent Chair comes in it's understated elegance. The solid ashwood frame is stained to a warm, pleasing hue while the cushions provide an inviting experience. The Martelle is a piece that would fit right at home in nearly any decor. The timeless design takes a mid-century concept and refines it for the modern age.",Mid-Century Modern,Wood,Accent Chairs,"Cream, Grey, Orange",0.0
178,https://www.overstock.com/Home-Garden/Martin-Black-Cream-Armchair/9252959/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=178,Martin Black/ Cream Armchair,16418468,"Brilliantly and intelligently designed in an abstract shape and style - this Martin tall back armchair appeals to modern tastes without denying style and comfort. This armchair is expertly built around sturdy steel frame padded with soft flame resistant antibacterial foam for the comfort. The back and arm rests are designed to perfectly hug and hold the body to help you relax into your armchair. All the while, this armchair doesn't lose its style or modern appeal. Abstractly shaped to add uniqueness and style to your home or office.",Modern & Contemporary,"Fabric, Metal, Microfiber, Stainless Steel, Steel",Living Room Chairs,"Black, Tan",0.0
179,https://www.overstock.com/Home-Garden/Baxton-Studio-Oreille-French-Provincial-Style-White-Wash-Distressed-Beige-Upholstered-Armchair/10867157/product.html?refccid=JZBFGYLFJOV2KMSB66Z5BDDNZU&searchidx=179,Baxton Studio Oreille French Provincial Style White Wash Distressed Beige Upholstered Armchair,17905173,"With its hand-carved motifs and resplendent wingback, the Oreille armchair revives a French-style stately charm. Fashioned from solid Mindi wood in oak finishing, no detail is spared on its majestic frame and statement. Neutral beige cotton-blend fabric with a solid pattern and detailed piping upholster the chair throughout on the back and front. Place beside a fireplace, at a window, or in at the entryway for an old-world look and feel. One of the first things that stand out for the Oreille is its intricate detailing. Precision crafting along the armrest and legs as well as the piping details on the seat add a depth of character that tells a story and history behind the design. More than anything else the Oreille is built to be an accent armchair for comfortably seating of your family or guests. Ideal for sitting back after a long day and enjoying your private space or hosting visitor to your home. Made in Indonesia, the armchair arrives fully assembled.","Country, French Country, Rustic, Shabby Chic, Traditional, Vintage","Cotton, Wood","Accent Chairs, Arm Chairs",Beige,2.7
180,https://www.overstock.com/Home-Garden/Signature-Design-by-Ashley-Emelen-Alloy-Chair-and-a-Half/10735213/product.html?refccid=MIUS33KSNY52SHKJDXUSTVS7LU&searchidx=180,Signature Design by Ashley Emelen Alloy Chair and a Half,17791788,"This Ashley Emelen Alloy Chair and a Half in an alloy finish provides a loveseat feel at a armchair price. This design is perfect for lounging, bundling up with a good book, or sitting extra close to a loved one.",Modern & Contemporary,Polyester,Oversize,Grey,5.0
181,https://www.overstock.com/Home-Garden/Sunpan-5West-Royalton-Leather-Armchair/9275493/product.html?refccid=MIUS33KSNY52SHKJDXUSTVS7LU&searchidx=181,Sunpan '5West' Royalton Leather Armchair,16439055,"Featuring timeless silver nail head trim, beautiful espresso finished legs, and sophisticated bonded leather upholstery, this elegant armchair is the perfect traditional piece for any room in your home. Functional and stylish, this leather armchair is available in a variety of neutral upholstery colors, allowing it to fit in with your current decor style.",Traditional,"Bonded Leather, leather",Arm Chairs,"Brown, Grey, Red, White",5.0
182,https://www.overstock.com/Home-Garden/CorLiving-Moor-Linen-Reclining-Armchair/12853334/product.html?refccid=MIUS33KSNY52SHKJDXUSTVS7LU&searchidx=182,CorLiving Moor Linen Reclining Armchair,19616466,"Lounge in luxury with the CorLiving recliner chair. Upholstered in a variety of colors and filled with generous foam batting, this chair offers four sturdy legs and the perfectly padded backrest for hours of relaxation.",Modern & Contemporary,"Fabric, Iron, Plywood",Recliners,"Beige, Blue, Brown, Green, Grey",0.0
183,https://www.overstock.com/Home-Garden/Palm-Canyon-Chorro-Mid-century-Tan-Leather-Armchair/9514344/product.html?refccid=MIUS33KSNY52SHKJDXUSTVS7LU&searchidx=183,Palm Canyon Chorro Mid-century Tan Leather Armchair,16693025,"Give your decor sophistication and comfort with this armchair. Upholstered in tan bonded leather, the armchair boasts sleek lines and button tufting, imbuing any space with mid-century elegance. The sturdy rubberwood frame ensures remarkable durability.","Mid-Century Modern, Modern & Contemporary","Leather, Rubberwood, Wood",Arm Chairs,Tan,4.6
184,https://www.overstock.com/Home-Garden/Safavieh-Devona-Charcoal-Off-White-Stripe-Awning-Silver-Nail-Heads-Stripe-Arm-Chair/11416933/product.html?refccid=MIUS33KSNY52SHKJDXUSTVS7LU&searchidx=184,Safavieh Devona Charcoal/Off-White Stripe Awning Silver Nail Heads Stripe Arm Chair,18380268,"Inspired by a 17th century antique found in Madrid, this armchair is a contemporary classic. Its striking traditional frame is paired with impeccably tailored black and white awning striped upholstery and finished with polished silver nailheads. Disclaimer: To prevent overall soiling, frequent vacuuming or light brushing is recommended. Cushions and pillows should be turned on a weekly basis. Down-filled cushions should be brushed rather than vacuumed. Spot clean, using a mild water-free solvent or dry cleaning product. Only a professional cleaner should undertake a complete overall cleaning. The use of steam or water-based cleaners may cause excessive shrinking or staining.","French Country, Shabby Chic","Metal, Polyester Blend, Stainless Steel",Arm Chairs,"Black, Off-White",4.0
185,https://www.overstock.com/Home-Garden/Baxton-Studio-Ashley-Contemporary-Beige-Fabric-Upholstered-Swivel-Armchair-with-Bronze-Nailheads-Trim/10305580/product.html?refccid=MIUS33KSNY52SHKJDXUSTVS7LU&searchidx=185,Baxton Studio Ashley Contemporary Beige Fabric Upholstered Swivel Armchair with Bronze Nailheads Trim,17418235,"Add additional seating to any room in your home while creating an elegant look with this simple, yet sophisticated, swivel armchair. The frame is constructed of birch wood, while the fabric upholstery consists of 35 percent cotton and 65 percent polyester with a high-density foam filling to offer durability and comfort.","Modern & Contemporary, Nautical & Coastal","Fabric, Foam, Wood",Arm Chairs,Beige,3.6
186,https://www.overstock.com/Home-Garden/Red-Molded-Plastic-Armchair-Rocker-in-Red/6673025/product.html?refccid=MIUS33KSNY52SHKJDXUSTVS7LU&searchidx=186,Red Molded Plastic Armchair Rocker in Red,14230309,"Not Grandma's rocking chair, this mid-century retro modern rocker has an avant-garde style with pizzazz. Still a comfortable seat for lulling children to sleep or moving in time to music, this rocking chair is a symbol of the modern home.",,"Plastic, Wood",Arm Chairs,Red,4.1
187,https://www.overstock.com/Home-Garden/Earnest-Fabric-Armchair/14062036/product.html?refccid=MIUS33KSNY52SHKJDXUSTVS7LU&searchidx=187,Earnest Fabric Armchair,20675228,"Elegant, plush, and bold, this sublimely upholstered armchair makes for a charming accent to any space. The classic button tufting is an artful touch that lends a vintage dimension to contemporary design. ","Mid-Century Modern, Modern & Contemporary","Fabric, Foam, Plastic, Polyester, Rubberwood, Wood",Arm Chairs,"Grey, Off-White",0.0
188,https://www.overstock.com/Home-Garden/Safavieh-Couture-High-Line-Collection-Manchester-Oak-Vintage-Cigar-Brown-Leather-Arm-Chair/11157544/product.html?refccid=MIUS33KSNY52SHKJDXUSTVS7LU&searchidx=188,Safavieh Couture High Line Collection Manchester Oak Vintage Cigar Brown Leather Arm Chair,18153904,"The English drawing room look is updated with the classy Manchester Armchair, a modified wing chair style to complement today's transitional interiors. Upholstered in rich top grain leather in vintage cigar brown, and crafted with oak turned legs on casters, Manchester is a handsome choice for the ultimate combination of comfort and style.",Modern & Contemporary,"Brass, Leather, Oak","Accent Chairs, Arm Chairs, Club Chairs",Brown,1.0
